"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"298","Sebastian Siemiatkowski ","40","951"
"299","Barry Silbert ","45","951"
"300","Daniel Sundheim ","45","951"
"301","Peter Gassner ","57","984"
"302","Bom Kim ","43","984"
"303","Gaiteng Li ","49","984"
"304","Lu Weiding ","51","984"
"305","Samir Mehta ","58","984"
"306","Nguyen Thi Phuong Thao ","51","984"
"307","Sergei Popov ","50","984"
"308","Karthik Sarma ","47","984"
"309","Gang Ye ","41","984"
"310","Yi Zheng ","51","984"
"311","Zhang Fan ","56","984"
"312","William Ackman ","55","1012"
"313","Markus Blocher ","51","1012"
"314","Euisun Chung ","51","1012"
"315","Li Min ","56","1012"
"316","Liang Yunchao ","53","1012"
"317","Joseph Liemandt ","53","1012"
"318","Michael Tojner ","56","1012"
"319","Ning Wang & family ","35","1012"
"320","Wang Yusuo & family ","58","1012"
"321","Oren Zeev ","57","1012"
"322","Zhang Lei ","49","1012"
"323","Zhang Xin & Pan Shiyi ","56","1012"
"324","Bang Si-hyuk ","49","1053"
"325","Miriam Baumann-Blocher ","47","1053"
"326","Deng Wen ","54","1053"
"327","Daniel Dines ","50","1053"
"328","Guo Zhenyu & family ","58","1053"
"329","Valentin Kipyatkov ","45","1053"
"330","Li Zhongchu ","58","1053"
"331","Martin Lorentzon ","53","1053"
"332","Olivier Pomel ","45","1053"
"333","Jean Salata ","56","1053"
"334","Arnout Schuijff ","54","1053"
"335","Kai Wu ","54","1053"
"336","Ye Fan & family ","51","1053"
"337","Yoo Jung-hyun ","52","1053"
"338","Fenggang Zhao ","56","1053"
"339","Zheng Xiaodong ","58","1053"
"340","Brian Acton ","50","1096"
"341","Felix Baker ","53","1096"
"342","Julian Baker ","55","1096"
"343","Karen Virginia Beckmann Legoretta ","52","1096"
"344","Otto Philipp Braun ","44","1096"
"345","Garrett Camp ","43","1096"
"346","Hua Chen ","56","1096"
"347","Dong Fan ","52","1096"
"348","Marcel Erni ","57","1096"
"349","Alfred Gantner ","54","1096"
"350","Hong Jie ","54","1096"
"351","Travis Kalanick ","45","1096"
"352","George Kurtz ","51","1096"
"353","Geoffrey Kwok ","36","1096"
"354","Alexis Lê-Quôc ","47","1096"
"355","Pan Dong ","57","1096"
"356","Sean Parker ","42","1096"
"357","Steven Sarowitz ","56","1096"
"358","Wong Man Li ","57","1096"
"359","Weiguo Zhao ","55","1096"
"360","Ben Ashkenazy ","52","1163"
"361","Yvonne Bauer ","45","1163"
"362","Aneel Bhusri ","56","1163"
"363","Jinxia Chen ","54","1163"
"364","Xingjiang Gao ","58","1163"
"365","Li Li ","56","1163"
"366","Tor Peterson ","57","1163"
"367","Jerry Yang ","53","1163"
"368","Yu Qibing & family ","56","1163"
"369","Zhang Xuezheng ","46","1163"
"370","Anne Beaufour ","58","1196"
"371","Henri Beaufour ","56","1196"
"372","Sanjeev Bikhchandani ","58","1196"
"373","Federico De Nora ","54","1196"
"374","Dong Wei ","51","1196"
"375","Lorenzo Fertitta ","53","1196"
"376","Igor Kesaev ","55","1196"
"377","Liu Fangyi ","52","1196"
"378","Alejandro Santo Domingo ","45","1196"
"379","Wang Linpeng ","53","1196"
"380","Xingming Zhu ","55","1196"
"381","Thor Bjorgolfsson ","55","1238"
"382","Hu Yangzhong ","57","1238"
"383","William Li ","47","1238"
"384","Liu Xiaodong ","54","1238"
"385","Jed McCaleb ","47","1238"
"386","Ravi Modi ","45","1238"
"387","Chad Richison ","51","1238"
"388","Nadia Thiele ","46","1238"
"389","Wang Minwen ","58","1238"
"390","Huijiao Yu ","56","1238"
"391","Zhang Ning & family ","48","1238"
"392","Zhao Tao ","56","1238"
"393","Hongyi Zhou ","51","1238"
"394","Zhisong Chen ","56","1292"
"395","John Coates ","52","1292"
"396","Chetan Dube ","56","1292"
"397","Daniel Ek ","39","1292"
"398","Caroline Hagen Kjos ","38","1292"
"399","Lam Kong ","57","1292"
"400","Joe Lau ","32","1292"
"401","Kevin David Lehmann ","19","1292"
"402","Liang Qin & family ","50","1292"
"403","Kalanithi Maran ","56","1292"
"404","Ferit Faik Sahenk ","58","1292"
"405","Jeff Tangney ","49","1292"
"406","Timur Turlov ","34","1292"
"407","Hamdi Ulukaya ","49","1292"
"408","Nikil Viswanathan ","34","1292"
"409","Anthony Wood ","56","1292"
"410","Houshan Bai ","58","1341"
"411","Alex Beard ","54","1341"
"412","Chu Lam Yiu ","52","1341"
"413","Alexander Frolov ","57","1341"
"414","Mario Germano Giuliani ","50","1341"
"415","Ho Hung Anh ","51","1341"
"416","Erman Ilicak ","54","1341"
"417","Zhaobai Jiang ","58","1341"
"418","Osman Kibar ","51","1341"
"419","Adam Kwok ","39","1341"
"420","Liang Rubo ","39","1341"
"421","Liang Zhaoxian ","57","1341"
"422","Thomas Tull ","51","1341"
"423","Yingming Wu ","55","1341"
"424","Yingzhuo Xu ","54","1341"
"425","Xiaojuan Zhang ","52","1341"
"426","Alex Atallah ","30","1397"
"427","Chris Britt ","49","1397"
"428","Cen Junda ","57","1397"
"429","Weimin Du ","58","1397"
"430","Devin Finzer ","31","1397"
"431","John Hancock ","46","1397"
"432","Shlomo Kramer ","56","1397"
"433","Jonathan Kwok ","30","1397"
"434","Martin Lau ","49","1397"
"435","Li Wa ","56","1397"
"436","Liang Xinjun ","54","1397"
"437","Lin Lairong & family ","53","1397"
"438","Daniel Lubetzky ","53","1397"
"439","Mu Rongjun ","42","1397"
"440","Bianca Rinehart ","45","1397"
"441","Ginia Rinehart ","35","1397"
"442","Filiz Sahenk ","55","1397"
"443","Alexander Svetakov ","54","1397"
"444","Jeffrey Talpins ","47","1397"
"445","Arvind Tiku ","52","1397"
"446","Torsten Toeller ","55","1397"
"447","Riaz Valani ","45","1397"
"448","Pieter van der Does ","52","1397"
"449","Hope Welker ","36","1397"
"450","Xie Bingkun & family ","55","1397"
"451","Zhou Jian ","45","1397"
"452","Masaaki Arai ","56","1445"
"453","Tatyana Bakalchuk ","46","1445"
"454","Chen Huwen ","51","1445"
"455","Chen Huxiong ","51","1445"
"456","Ryan Cohen ","36","1445"
"457","Fred Ehrsam ","33","1445"
"458","John Elkann ","46","1445"
"459","Bahaa Hariri ","55","1445"
"460","Reid Hoffman ","54","1445"
"461","Hou Juncheng ","57","1445"
"462","Lai Shixian ","47","1445"
"463","Lee Hae-jin ","54","1445"
"464","Yangyong Luo & family ","46","1445"
"465","David Mindus ","50","1445"
"466","Xiangdong Qi ","51","1445"
"467","Song Fei ","55","1445"
"468","Jitendra Virwani ","56","1445"
"469","Wu Ying ","57","1445"
"470","Amy Wyss ","51","1445"
"471","Xiang Guangming & family ","58","1445"
"472","Xu Shugen ","56","1445"
"473","Steven Meng Yang & family ","39","1445"
"474","Clayton Zekelman ","53","1445"
"475","Hongfei Zhao ","47","1445"
"476","Andrey Andreev ","48","1513"
"477","Guilherme Benchimol ","45","1513"
"478","Ryan Breslow ","27","1513"
"479","Cao Jianwei ","43","1513"
"480","Georgi Domuschiev ","49","1513"
"481","Kiril Domuschiev ","52","1513"
"482","Orion Hindawi ","42","1513"
"483","Ji Qi ","55","1513"
"484","Vyacheslav Kim ","52","1513"
"485","Egor Kulkov ","50","1513"
"486","Josh Kushner ","36","1513"
"487","Li Xuhui ","53","1513"
"488","Jim McKelvey ","56","1513"
"489","Genhuo Shao ","56","1513"
"490","Alexander Skorobogatko ","54","1513"
"491","Kanye West ","44","1513"
"492","Evan Williams ","50","1513"
"493","Zhongyi Wu ","48","1513"
"494","Zhihan Xu ","49","1513"
"495","Yan Zhi ","49","1513"
"496","Yuan Liping ","51","1513"
"497","Baokun Bai ","52","1579"
"498","Acharya Balkrishna ","49","1579"
"499","Kim Dae-il ","42","1579"
"500","Kim Hyoung-nyon ","46","1579"
"501","Lin Dingqiang & family ","55","1579"
"502","Mikhail Lomtadze ","46","1579"
"503","Yusaku Maezawa ","46","1579"
"504","Katarina Martinson ","40","1579"
"505","Nguyen Dang Quang ","58","1579"
"506","Gretel Packer ","56","1579"
"507","Benjamin Zhengmin Pan & family ","52","1579"
"508","Alexander Ponomarenko ","57","1579"
"509","Larry Robbins ","52","1579"
"510","Shi Yifeng ","48","1579"
"511","Sun Hongjun ","48","1579"
"512","Anand Surana ","51","1579"
"513","Dilip Surana ","56","1579"
"514","Georg von Opel ","55","1579"
"515","Changtian Wang ","56","1579"
"516","Wang Xiaoshen ","53","1579"
"517","David Zalik ","48","1579"
"518","Igor Altushkin ","51","1645"
"519","Nigel Austin ","51","1645"
"520","Bang Jun-hyuk ","53","1645"
"521","O. Francis Biondi ","57","1645"
"522","Chang Byung-gyu ","48","1645"
"523","Chen Gang ","54","1645"
"524","Liying Chen ","46","1645"
"525","Chi Yufeng ","51","1645"
"526","Alfredo Egydio Arruda Villela Filho ","52","1645"
"527","Ali Ghodsi ","43","1645"
"528","Giammaria Giuliani ","44","1645"
