"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"334","Zhou Bajin ","86","778"
"335","William Berkley ","75","801"
"336","John Catsimatidis ","73","801"
"337","Gustavo Denegri ","85","801"
"338","Charles Edelstenne ","84","801"
"339","Amos Hostetter, Jr. ","85","801"
"340","Friedrich Knapp ","70","801"
"341","Richard LeFrak & family ","76","801"
"342","Low Tuck Kwong ","73","801"
"343","Akira Mori & family ","85","801"
"344","Ira Rennert ","87","801"
"345","Bernard Saul, II. ","89","801"
"346","Steven Spielberg ","75","801"
"347","Danielle Bellon & family ","82","822"
"348","Cho Tak Wong ","75","822"
"349","Charles Cohen ","70","822"
"350","Martin Ebner ","76","822"
"351","Miguel Fluxa Rossello ","83","822"
"352","John Henry ","72","822"
"353","Peter Kellogg ","79","822"
"354","James Leprino ","84","822"
"355","Arturo Moreno ","75","822"
"356","Julio Ponce Lerou ","76","822"
"357","Chandru Raheja ","81","822"
"358","Rodger Riney & family ","76","822"
"359","Zuowen Song ","75","822"
"360","Jerry Speyer ","81","822"
"361","Tung Chee Chen ","79","822"
"362","Roger Wang ","73","822"
"363","Beatriz Davila de Santo Domingo ","83","851"
"364","Antonio Del Valle Ruiz & family ","83","851"
"365","Yuhua Gu & family ","72","851"
"366","Kuok Khoon Hong ","72","851"
"367","Jeffrey Lurie ","70","851"
"368","Mary Alice Dorrance Malone ","72","851"
"369","Ronald McAulay ","86","851"
"370","Arnon Milchan ","77","851"
"371","Masahiro Noda ","83","851"
"372","Lynn Schusterman ","83","851"
"373","Thomas Siebel ","69","851"
"374","Herb Simon ","87","851"
"375","Friede Springer ","79","851"
"376","Hans Peter Wild ","80","851"
"377","Mohed Altrad ","74","883"
"378","Sid Bass ","79","883"
"379","Nick Caporella ","86","883"
"380","Archie Aldis Emmerson & family ","92","883"
"381","David Gottesman ","95","883"
"382","Laurence Graff & family ","83","883"
"383","Bob Parsons ","71","883"
"384","Prasert Prasarttong-Osoth ","89","883"
"385","Qiu Guanghe & family ","70","883"
"386","Richard Sands ","71","883"
"387","T. Denny Sanford ","86","883"
"388","Chenghai Ye & family ","78","883"
"389","An Kang ","73","913"
"390","Arun Bharat Ram ","81","913"
"391","Jean Coutu & family ","94","913"
"392","Bob Gaglardi ","81","913"
"393","John Gandel ","87","913"
"394","Xuande Hua & family ","78","913"
"395","Micky Jagtiani ","70","913"
"396","Miguel Krigsner ","72","913"
"397","Lin Ming-hsiung ","72","913"
"398","Kiran Mazumdar-Shaw ","69","913"
"399","Or Wai Sheun ","70","913"
"400","Jay Paul ","74","913"
"401","Horst Paulmann & family ","87","913"
"402","Theodore Rachmat ","78","913"
"403","John Sall ","74","913"
"404","Nusli Wadia ","78","913"
"405","Steve Wynn ","80","913"
"406","Dongchen Cai ","69","951"
"407","Vanich Chaiyawan ","90","951"
"408","James Clark ","78","951"
"409","Jack Cowin ","79","951"
"410","Giuseppe Crippa & family ","86","951"
"411","Peter Gilgan ","71","951"
"412","Thomas Hagen ","86","951"
"413","Rudy Ma ","81","951"
"414","Taha Mikati ","77","951"
