"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"1268","Jose Luis Cutrale ",75,"Food & Beverage ",0.6,"2020 - 2021",-0.6,"2021 - 2022"
"1269","Katarina Martinson ",40,"Diversified ",0.6,"2020 - 2021",-0.2,"2021 - 2022"
"1270","Chen Gang ",54,"Energy ",0.6,"2021 - 2022",0,"2015 - 2016"
"1271","John de Mol ",67,"Media & Entertainment ",0.6,"2017 - 2018",-0.3,"2015 - 2016"
"1272","George Joseph ",100,"Finance & Investments ",0.6,"2020 - 2021",-0.2,"2017 - 2018"
"1273","Wolfgang Leitner ",69,"Construction & Engineering ",0.6,"2020 - 2021",-0.1,"2015 - 2016"
"1274","Bill Malhotra ",72,"Real Estate ",0.6,"2021 - 2022",0,"2015 - 2016"
"1275","Liora Ofer ",68,"Finance & Investments ",0.6,"2021 - 2022",0,"2015 - 2016"
"1276","David Paul ",55,"Healthcare ",0.6,"2020 - 2021",0,"2015 - 2016"
"1277","Zhang Chuanwei & family ",59,"Manufacturing ",0.6,"2021 - 2022",0,"2015 - 2016"
"1278","William Heinecke ",72,"Real Estate ",0.6,"2017 - 2018",-0.1,"2021 - 2022"
"1279","Jamie Dimon ",66,"Finance & Investments ",0.6,"2020 - 2021",-0.2,"2021 - 2022"
"1280","Li Rucheng ",70,"Fashion & Retail ",0.6,"2020 - 2021",-0.2,"2021 - 2022"
"1281","Geng Jianming ",59,"Real Estate ",0.6,"2016 - 2017",-0.9,"2021 - 2022"
"1282","Kurt Krieger ",74,"Fashion & Retail ",0.6,"2016 - 2017",-0.5,"2021 - 2022"
"1283","Martin Moller Nielsen ",57,"Logistics ",0.6,"2017 - 2018",-0.2,"2020 - 2021"
"1284","Tony Tan Caktiong ",69,"Food & Beverage ",0.6,"2017 - 2018",0.6,"2018 - 2019"
"1285","Mika Anttonen ",55,"Energy ",0.6,"2017 - 2018",-0.1,"2021 - 2022"
"1286","Yvon Chouinard ",83,"Fashion & Retail ",0.6,"2020 - 2021",-0.6,"2021 - 2022"
"1287","Stelios Haji-Ioannou ",55,"Service ",0.6,"2017 - 2018",-0.4,"2016 - 2017"
"1288","Ke Guihua ",56,"Manufacturing ",0.6,"2020 - 2021",-0.5,"2021 - 2022"
"1289","Choo Chong Ngen ",68,"Real Estate ",0.6,"2016 - 2017",-0.2,"2021 - 2022"
"1290","R.G. Chandramogan ",73,"Food & Beverage ",0.6,"2021 - 2022",0,"2015 - 2016"
"1291","David Hains ",91,"Finance & Investments ",0.6,"2020 - 2021",-0.2,"2021 - 2022"
"1292","Sezai Bacaksiz ",72,"Diversified ",0.6,"2020 - 2021",-0.4,"2021 - 2022"
"1293","Nihat Ozdemir ",72,"Diversified ",0.6,"2020 - 2021",-0.4,"2021 - 2022"
"1294","John Bicket ",42,"Technology ",0.6,"2021 - 2022",-0.3,"2020 - 2021"
"1295","Sanjit Biswas ",40,"Technology ",0.6,"2021 - 2022",-0.3,"2020 - 2021"
"1296","Lee Joong-keun ",81,"Construction & Engineering ",0.6,"2021 - 2022",-0.5,"2020 - 2021"
"1297","Louise Lindh ",42,"Diversified ",0.6,"2020 - 2021",-0.2,"2021 - 2022"
"1298","Bruce Mathieson ",78,"Food & Beverage ",0.6,"2021 - 2022",0,"2015 - 2016"
"1299","M.Satyanarayana Reddy ",64,"Healthcare ",0.6,"2021 - 2022",0,"2015 - 2016"
"1300","Jan Van Geet ",50,"Real Estate ",0.6,"2021 - 2022",0,"2015 - 2016"
"1301","Zhong Peifeng ",59,"Telecom ",0.6,"2021 - 2022",0,"2015 - 2016"
"1302","Patrick Hanrahan ",66,"Technology ",0.6,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1303","Lai Jianfa ",52,"Logistics ",0.6,"2020 - 2021",-0.8,"2021 - 2022"
"1304","Kevin Systrom ",38,"Technology ",0.6,"2020 - 2021",-0.4,"2021 - 2022"
"1305","Sabrina Benetton ",48,"Fashion & Retail ",0.6,"2020 - 2021",-0.3,"2021 - 2022"
"1306","Thomas Bruch ",71,"Fashion & Retail ",0.6,"2017 - 2018",-0.5,"2016 - 2017"
"1307","Mofatraj Munot ",77,"Real Estate ",0.6,"2016 - 2017",-0.4,"2015 - 2016"
"1308","Ludwig Theodor Braun ",32,"Healthcare ",0.6,"2017 - 2018",-0.1,"2021 - 2022"
"1309","Ma Xiuhui ",51,"Manufacturing ",0.6,"2020 - 2021",-0.6,"2021 - 2022"
"1310","Karl Scheufele, III. & family ",83,"Fashion & Retail ",0.6,"2020 - 2021",-1.2,"2021 - 2022"
"1311","Kwee brothers ",64,"Real Estate ",0.6,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"1312","Issad Rebrab & family ",78,"Food & Beverage ",0.6,"2020 - 2021",0,"2015 - 2016"
"1313","Thomas Secunda ",67,"Media & Entertainment ",0.6,"2021 - 2022",0.2,"2017 - 2018"
"1314","Micky Jagtiani ",70,"Fashion & Retail ",0.6,"2020 - 2021",-2.05,"2019 - 2020"
"1315","James Clark ",78,"Technology ",0.6,"2020 - 2021",0,"2017 - 2018"
"1316","Jose Joao Abdalla Filho ",76,"Finance & Investments ",0.6,"2021 - 2022",0,"2015 - 2016"
"1317","Doris Fisher ",90,"Fashion & Retail ",0.6,"2020 - 2021",-0.6,"2015 - 2016"
"1318","Alejandro Bulgheroni ",77,"Energy ",0.6,"2020 - 2021",-1.4,"2021 - 2022"
"1319","Robert Friedland ",71,"Metals & Mining ",0.5,"2021 - 2022",-0.1,"2017 - 2018"
"1320","John Hancock ",46,"Metals & Mining ",0.5,"2021 - 2022",0,"2015 - 2016"
"1321","Bianca Rinehart ",45,"Metals & Mining ",0.5,"2021 - 2022",0,"2015 - 2016"
"1322","Ginia Rinehart ",35,"Metals & Mining ",0.5,"2021 - 2022",0,"2015 - 2016"
"1323","Hope Welker ",36,"Metals & Mining ",0.5,"2021 - 2022",0,"2015 - 2016"
"1324","Lau Cho Kun ",86,"Diversified ",0.5,"2020 - 2021",-0.1,"2021 - 2022"
"1325","Phillip T. (Terry) Ragon ",72,"Technology ",0.5,"2020 - 2021",-0.4,"2021 - 2022"
"1326","Ana Lucia de Mattos Barretto Villela ",48,"Finance & Investments ",0.5,"2017 - 2018",-0.1,"2020 - 2021"
"1327","Jeffrey Lorberbaum ",67,"Manufacturing ",0.5,"2016 - 2017",-0.6,"2021 - 2022"
"1328","Marius Nacht ",56,"Technology ",0.5,"2016 - 2017",-0.6,"2017 - 2018"
"1329","Helena Revoredo ",75,"Service ",0.5,"2016 - 2017",-0.5,"2015 - 2016"
"1330","Vincent Bolloré & family ",70,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1331","Sam Zell ",80,"Real Estate ",0.5,"2020 - 2021",-0.37,"2018 - 2019"
"1332","Sami Mnaymneh ",60,"Finance & Investments ",0.5,"2020 - 2021",0,"2015 - 2016"
"1333","Tony Tamer ",64,"Finance & Investments ",0.5,"2020 - 2021",0,"2015 - 2016"
"1334","Anil Agarwal & family ",68,"Metals & Mining ",0.5,"2020 - 2021",0,"2015 - 2016"
"1335","John Paulson ",66,"Finance & Investments ",0.5,"2021 - 2022",-1.8,"2016 - 2017"
"1336","Denise York & family ",71,"Sports ",0.5,"2021 - 2022",0,"2015 - 2016"
"1337","Richard LeFrak & family ",76,"Real Estate ",0.5,"2020 - 2021",0,"2015 - 2016"
"1338","Charles Cohen ",70,"Real Estate ",0.5,"2017 - 2018",0,"2015 - 2016"
"1339","Jerry Speyer ",81,"Real Estate ",0.5,"2021 - 2022",-0.9,"2020 - 2021"
"1340","James Irsay ",62,"Sports ",0.5,"2021 - 2022",0,"2020 - 2021"
"1341","Xia Zuoquan ",60,"Automotive ",0.5,"2021 - 2022",0,"2015 - 2016"
"1342","Steven Klinsky ",65,"Finance & Investments ",0.5,"2020 - 2021",0,"2015 - 2016"
"1343","John Arnold ",48,"Finance & Investments ",0.5,"2016 - 2017",-0.1,"2015 - 2016"
"1344","Jean Coutu & family ",94,"Fashion & Retail ",0.5,"2021 - 2022",0,"2015 - 2016"
"1345","H. Fisk Johnson ",63,"Manufacturing ",0.5,"2016 - 2017",-0.2,"2021 - 2022"
"1346","S. Curtis Johnson ",66,"Manufacturing ",0.5,"2016 - 2017",-0.3,"2021 - 2022"
"1347","Zhong Ruonong & family ",59,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1348","Philippe Foriel-Destezet ",86,"Service ",0.5,"2020 - 2021",-0.2,"2015 - 2016"
"1349","Otto Happel ",74,"Construction & Engineering ",0.5,"2017 - 2018",-0.1,"2021 - 2022"
"1350","Charles Zegar ",74,"Media & Entertainment ",0.5,"2020 - 2021",0.1,"2017 - 2018"
"1351","Drayton McLane, Jr. ",85,"Fashion & Retail ",0.5,"2017 - 2018",-0.3,"2015 - 2016"
"1352","Jean Salata ",56,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1353","Warren Stephens ",65,"Finance & Investments ",0.5,"2020 - 2021",-0.5,"2015 - 2016"
"1354","Kwek Leng Beng ",81,"Diversified ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1355","Geoffrey Kwok ",36,"Real Estate ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1356","Xu Chuanhua & family ",87,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1357","Bill Austin ",80,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1358","Vivek Chand Burman ",84,"Food & Beverage ",0.5,"2020 - 2021",-0.2,"2015 - 2016"
"1359","Carlos Hank Rhon ",74,"Diversified ",0.5,"2021 - 2022",-0.3,"2015 - 2016"
"1360","Igor Kesaev ",55,"Fashion & Retail ",0.5,"2020 - 2021",-1.4,"2021 - 2022"
"1361","Smita Crishna-Godrej ",71,"Diversified ",0.5,"2020 - 2021",0,"2015 - 2016"
"1362","Adi Godrej ",80,"Diversified ",0.5,"2020 - 2021",-2.6,"2015 - 2016"
"1363","Jamshyd Godrej ",73,"Diversified ",0.5,"2020 - 2021",-2.6,"2015 - 2016"
"1364","Nadir Godrej ",71,"Diversified ",0.5,"2020 - 2021",0,"2015 - 2016"
"1365","Stephen Lansdown ",69,"Finance & Investments ",0.5,"2020 - 2021",-0.1,"2021 - 2022"
"1366","Jed McCaleb ",47,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1367","Charles Munger ",98,"Finance & Investments ",0.5,"2021 - 2022",-0.1,"2015 - 2016"
"1368","Rishad Naoroji ",70,"Diversified ",0.5,"2020 - 2021",-0.2,"2015 - 2016"
"1369","Adam Kwok ",39,"Real Estate ",0.5,"2020 - 2021",-0.3,"2021 - 2022"
"1370","Clayton Mathile ",81,"Food & Beverage ",0.5,"2016 - 2017",-1.5,"2017 - 2018"
"1371","Dirk Rossmann & family ",75,"Fashion & Retail ",0.5,"2020 - 2021",-1.5,"2021 - 2022"
"1372","Faisal Bin Qassim Al Thani ",74,"Diversified ",0.5,"2021 - 2022",-0.8,"2017 - 2018"
"1373","Chen Xuehua ",61,"Metals & Mining ",0.5,"2021 - 2022",0,"2015 - 2016"
"1374","Ryan Cohen ",36,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1375","David Mindus ",50,"Real Estate ",0.5,"2021 - 2022",0,"2015 - 2016"
"1376","Ajay Parekh ",64,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1377","Herb Chambers ",80,"Automotive ",0.5,"2020 - 2021",-0.1,"2021 - 2022"
"1378","Orion Hindawi ",42,"Technology ",0.5,"2020 - 2021",0,"2015 - 2016"
"1379","Vinod Saraf ",69,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1380","Anu Aga ",79,"Construction & Engineering ",0.5,"2021 - 2022",0,"2015 - 2016"
"1381","Joy Alukkas ",65,"Fashion & Retail ",0.5,"2016 - 2017",-0.1,"2017 - 2018"
"1382","Nicola Bulgari ",81,"Fashion & Retail ",0.5,"2020 - 2021",-0.1,"2015 - 2016"
"1383","Fernando Chico Pardo ",70,"Service ",0.5,"2021 - 2022",0,"2015 - 2016"
"1384","Oei Hong Leong ",74,"Finance & Investments ",0.5,"2020 - 2021",0,"2015 - 2016"
"1385","Qi Jinxing ",60,"Real Estate ",0.5,"2021 - 2022",0,"2015 - 2016"
"1386","Larry Robbins ",52,"Finance & Investments ",0.5,"2017 - 2018",-0.2,"2015 - 2016"
"1387","Djoko Susanto ",72,"Fashion & Retail ",0.5,"2020 - 2021",0,"2016 - 2017"
"1388","Wang Xiaoshen ",53,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1389","Yasuhiro Fukushima ",74,"Media & Entertainment ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1390","Torbjorn Tornqvist ",68,"Energy ",0.5,"2017 - 2018",-0.2,"2015 - 2016"
"1391","Marc Andreessen ",50,"Finance & Investments ",0.5,"2020 - 2021",0,"2015 - 2016"
"1392","Donald Foss ",77,"Automotive ",0.5,"2020 - 2021",0,"2015 - 2016"
"1393","Stephen Winn ",75,"Real Estate ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1394","Alan Zekelman ",59,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1395","Sam Goi ",75,"Food & Beverage ",0.5,"2016 - 2017",-0.5,"2015 - 2016"
"1396","Bill Gross ",77,"Finance & Investments ",0.5,"2016 - 2017",-0.6,"2017 - 2018"
"1397","Jin Lei & family ",67,"Healthcare ",0.5,"2021 - 2022",0,"2015 - 2016"
"1398","Richard Kayne ",76,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1399","Vincent Lo ",73,"Real Estate ",0.5,"2017 - 2018",-0.2,"2021 - 2022"
"1400","Cargill MacMillan, III. ",62,"Food & Beverage ",0.5,"2021 - 2022",0,"2015 - 2016"
"1401","John MacMillan ",72,"Food & Beverage ",0.5,"2021 - 2022",0,"2015 - 2016"
"1402","Martha MacMillan ",70,"Food & Beverage ",0.5,"2021 - 2022",0,"2015 - 2016"
"1403","William MacMillan ",67,"Food & Beverage ",0.5,"2021 - 2022",0,"2015 - 2016"
"1404","Andres Santo Domingo ",43,"Food & Beverage ",0.5,"2015 - 2016",-0.4,"2017 - 2018"
"1405","Carl Thoma ",73,"Finance & Investments ",0.5,"2021 - 2022",0,"2015 - 2016"
"1406","Ion Tiriac ",82,"Finance & Investments ",0.5,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1407","Tseng Sing-ai ",64,"Manufacturing ",0.5,"2021 - 2022",0,"2015 - 2016"
"1408","Wei Ing-Chou ",68,"Food & Beverage ",0.5,"2020 - 2021",-0.7,"2015 - 2016"
"1409","Domenico Dolce ",63,"Fashion & Retail ",0.5,"2017 - 2018",-0.4,"2015 - 2016"
"1410","Henry Engelhardt ",64,"Finance & Investments ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1411","John Farber ",96,"Manufacturing ",0.5,"2017 - 2018",-0.7,"2015 - 2016"
"1412","Stefano Gabbana ",59,"Fashion & Retail ",0.5,"2017 - 2018",-0.4,"2015 - 2016"
"1413","Drew Houston ",39,"Technology ",0.5,"2020 - 2021",-0.3,"2021 - 2022"
"1414","Ke Zunhong & family ",67,"Healthcare ",0.5,"2020 - 2021",-1.7,"2021 - 2022"
"1415","Rafique Malik ",71,"Fashion & Retail ",0.5,"2021 - 2022",0,"2015 - 2016"
"1416","Myron Wentz ",82,"Fashion & Retail ",0.5,"2020 - 2021",-0.1,"2021 - 2022"
"1417","Xu Wanmao ",77,"Service ",0.5,"2020 - 2021",0,"2015 - 2016"
"1418","Christoph Henkel ",64,"Fashion & Retail ",0.5,"2020 - 2021",-0.3,"2021 - 2022"
"1419","Kim Jun-ki ",77,"Diversified ",0.5,"2017 - 2018",-0.1,"2021 - 2022"
"1420","Kim Sang-yeol ",61,"Construction & Engineering ",0.5,"2020 - 2021",-0.3,"2021 - 2022"
"1421","Gary Magness ",68,"Media & Entertainment ",0.5,"2020 - 2021",-0.2,"2021 - 2022"
"1422","Stefan Olsson ",73,"Diversified ",0.5,"2017 - 2018",-0.5,"2021 - 2022"
"1423","Alexey Repik ",42,"Healthcare ",0.5,"2020 - 2021",-1.2,"2021 - 2022"
"1424","Tong Jinquan ",67,"Real Estate ",0.5,"2020 - 2021",-2,"2017 - 2018"
"1425","Cheng Xianfeng ",53,"Healthcare ",0.5,"2020 - 2021",-0.4,"2021 - 2022"
"1426","Deniz Sahenk ",76,"Diversified ",0.5,"2020 - 2021",-0.3,"2015 - 2016"
"1427","Sandro Veronesi & family ",62,"Fashion & Retail ",0.5,"2020 - 2021",-0.8,"2021 - 2022"
"1428","Zhang Guiping & family ",70,"Real Estate ",0.5,"2020 - 2021",-0.4,"2021 - 2022"
"1429","Wang Jilei ",57,"Logistics ",0.5,"2020 - 2021",-0.7,"2021 - 2022"
"1430","Henadiy Boholyubov ",60,"Diversified ",0.5,"2020 - 2021",-0.6,"2021 - 2022"
"1431","Sefik Yilmaz Dizdar ",84,"Fashion & Retail ",0.5,"2017 - 2018",-0.4,"2021 - 2022"
"1432","Anand Burman ",69,"Food & Beverage ",0.5,"2020 - 2021",-0.0999999999999999,"2015 - 2016"
"1433","Kommer Damen ",78,"Manufacturing ",0.5,"2021 - 2022",-0.0999999999999999,"2016 - 2017"
"1434","Wei Ying-Chiao ",67,"Food & Beverage ",0.5,"2020 - 2021",-0.7,"2021 - 2022"
"1435","Maria Asuncion Aramburuzabala & family ",58,"Food & Beverage ",0.4,"2021 - 2022",0,"2015 - 2016"
"1436","Terrence Pegula ",71,"Energy ",0.4,"2020 - 2021",0.0999999999999996,"2016 - 2017"
"1437","Mark Scheinberg ",48,"Gambling & Casinos ",0.4,"2016 - 2017",0,"2015 - 2016"
"1438","Dona Bertarelli ",54,"Healthcare ",0.4,"2020 - 2021",-0.0999999999999996,"2015 - 2016"
"1439","David Bonderman ",79,"Finance & Investments ",0.4,"2021 - 2022",-0.1,"2015 - 2016"
"1440","Yvonne Bauer ",45,"Media & Entertainment ",0.4,"2017 - 2018",-0.2,"2015 - 2016"
"1441","Zhang Xuezheng ",46,"Technology ",0.4,"2021 - 2022",0,"2015 - 2016"
"1442","Ronald Perelman ",79,"Finance & Investments ",0.4,"2016 - 2017",-3.2,"2020 - 2021"
"1443","Robert Duggan ",77,"Healthcare ",0.4,"2015 - 2016",-0.6,"2017 - 2018"
"1444","Krit Ratanarak ",75,"Media & Entertainment ",0.4,"2017 - 2018",-1.2,"2015 - 2016"
"1445","Eduardo Eurnekian ",89,"Diversified ",0.4,"2017 - 2018",0.0999999999999996,"2016 - 2017"
"1446","Katsumi Tada ",76,"Real Estate ",0.4,"2017 - 2018",-0.1,"2020 - 2021"
"1447","Hamdi Ulukaya ",49,"Food & Beverage ",0.4,"2015 - 2016",-0.1,"2016 - 2017"
"1448","Michael Ashcroft ",76,"Finance & Investments ",0.4,"2020 - 2021",0,"2015 - 2016"
"1449","Lin Fanlian ",60,"Energy ",0.4,"2020 - 2021",0,"2015 - 2016"
"1450","Jeffrey Talpins ",47,"Finance & Investments ",0.4,"2020 - 2021",0,"2015 - 2016"
"1451","Mohamed Al Fayed ",93,"Fashion & Retail ",0.4,"2020 - 2021",-0.2,"2017 - 2018"
"1452","Narendrakumar Parekh ",83,"Manufacturing ",0.4,"2021 - 2022",0,"2015 - 2016"
"1453","Wu Ying ",57,"Manufacturing ",0.4,"2021 - 2022",0,"2015 - 2016"
"1454","Keeree Kanjanapas ",71,"Real Estate ",0.4,"2020 - 2021",-0.4,"2015 - 2016"
"1455","Thomas Kwok ",70,"Real Estate ",0.4,"2020 - 2021",-10.6,"2019 - 2020"
"1456","Nigel Austin ",51,"Fashion & Retail ",0.4,"2021 - 2022",-0.1,"2020 - 2021"
"1457","O. Francis Biondi ",57,"Finance & Investments ",0.4,"2015 - 2016",0,"2016 - 2017"
"1458","Brian Higgins ",57,"Finance & Investments ",0.4,"2015 - 2016",0,"2016 - 2017"
"1459","David Hindawi ",77,"Technology ",0.4,"2020 - 2021",0,"2015 - 2016"
"1460","Dominika Kulczyk ",44,"Finance & Investments ",0.4,"2020 - 2021",-0.3,"2021 - 2022"
"1461","David Booth ",76,"Finance & Investments ",0.4,"2020 - 2021",-0.3,"2015 - 2016"
"1462","Chen Yung-tai ",86,"Real Estate ",0.4,"2016 - 2017",-0.1,"2015 - 2016"
"1463","Yao Kuizhang ",57,"Food & Beverage ",0.4,"2020 - 2021",0,"2015 - 2016"
"1464","Lance Gokongwei ",54,"Diversified ",0.4,"2021 - 2022",0,"2015 - 2016"
"1465","Zheng Jianjiang & family ",61,"Manufacturing ",0.4,"2021 - 2022",0,"2015 - 2016"
"1466","Yang Jian ",50,"Real Estate ",0.4,"2020 - 2021",-0.7,"2021 - 2022"
"1467","Bhadresh Shah ",70,"Manufacturing ",0.4,"2020 - 2021",-0.2,"2021 - 2022"
"1468","Yasseen Mansour ",60,"Diversified ",0.4,"2016 - 2017",-1.1,"2020 - 2021"
"1469","Pu Zhongjie & family ",59,"Healthcare ",0.4,"2020 - 2021",-0.7,"2021 - 2022"
"1470","Steven Udvar-Hazy ",76,"Service ",0.4,"2020 - 2021",-0.2,"2015 - 2016"
"1471","Donald Sterling ",87,"Real Estate ",0.4,"2016 - 2017",0,"2017 - 2018"
"1472","Gayle Benson ",75,"Sports ",0.4,"2021 - 2022",0,"2015 - 2016"
"1473","Margarita Louis-Dreyfus & family ",59,"Food & Beverage ",0.4,"2021 - 2022",-0.5,"2020 - 2021"
"1474","Arturo Moreno ",75,"Sports ",0.4,"2017 - 2018",0.1,"2020 - 2021"
"1475","Jose E. Feliciano ",48,"Finance & Investments ",0.4,"2021 - 2022",0,"2015 - 2016"
"1476","Bob Gaglardi ",81,"Real Estate ",0.4,"2020 - 2021",0,"2015 - 2016"
"1477","Mortimer Zuckerman ",84,"Real Estate ",0.4,"2016 - 2017",-0.1,"2015 - 2016"
"1478","Jeremy Jacobs, Sr. & family ",82,"Service ",0.4,"2021 - 2022",-0.7,"2020 - 2021"
"1479","Li Zhongchu ",58,"Technology ",0.4,"2017 - 2018",-0.8,"2015 - 2016"
"1480","Maritsa Lazari & family ",77,"Real Estate ",0.4,"2020 - 2021",-0.1,"2021 - 2022"
"1481","Sergio Mantegazza ",94,"Service ",0.4,"2016 - 2017",-0.2,"2017 - 2018"
"1482","Gregorio Perez Companc & family ",86,"Energy ",0.4,"2021 - 2022",0,"2015 - 2016"
"1483","Alicia Koplowitz ",68,"Finance & Investments ",0.4,"2017 - 2018",-0.0999999999999996,"2015 - 2016"
"1484","Christiane Schoeller ",64,"Media & Entertainment ",0.4,"2021 - 2022",0,"2015 - 2016"
"1485","Wang Minwen ",58,"Technology ",0.4,"2021 - 2022",0,"2015 - 2016"
"1486","George Argyros & family ",85,"Real Estate ",0.4,"2021 - 2022",0,"2015 - 2016"
"1487","Peter Unger ",77,"Automotive ",0.4,"2017 - 2018",-0.1,"2021 - 2022"
"1488","Yusuf Hamied ",85,"Healthcare ",0.4,"2021 - 2022",-0.5,"2015 - 2016"
"1489","Jonathan Kwok ",30,"Real Estate ",0.4,"2020 - 2021",-0.2,"2021 - 2022"
"1490","Vincent McMahon ",76,"Sports ",0.4,"2017 - 2018",0,"2015 - 2016"
"1491","Alexander Svetakov ",54,"Finance & Investments ",0.4,"2016 - 2017",-0.2,"2015 - 2016"
"1492","Jim Breyer ",60,"Technology ",0.4,"2016 - 2017",-0.4,"2021 - 2022"
"1493","Bruce Cheng ",86,"Technology ",0.4,"2016 - 2017",-0.6,"2015 - 2016"
"1494","Daniel Chiu ",61,"Energy ",0.4,"2020 - 2021",0,"2015 - 2016"
"1495","Brunello Cucinelli & family ",68,"Fashion & Retail ",0.4,"2020 - 2021",0,"2015 - 2016"
"1496","Michael Lee-Chin ",71,"Finance & Investments ",0.4,"2021 - 2022",-0.4,"2020 - 2021"
"1497","Benjamin Zhengmin Pan & family ",52,"Technology ",0.4,"2020 - 2021",-1.5,"2021 - 2022"
"1498","Wang Chaobin ",66,"Real Estate ",0.4,"2017 - 2018",-0.1,"2021 - 2022"
"1499","Wei Yin-Heng ",63,"Food & Beverage ",0.4,"2020 - 2021",-0.6,"2015 - 2016"
"1500","Leslie Alexander ",78,"Sports ",0.4,"2016 - 2017",-0.1,"2015 - 2016"
"1501","Alexandre Grendene Bartelle ",72,"Fashion & Retail ",0.4,"2016 - 2017",-0.9,"2015 - 2016"
"1502","Anthony Langley ",67,"Diversified ",0.4,"2016 - 2017",-0.2,"2020 - 2021"
"1503","Deepak Mehta ",65,"Manufacturing ",0.4,"2021 - 2022",0,"2015 - 2016"
"1504","Alberto Prada ",68,"Fashion & Retail ",0.4,"2016 - 2017",-0.8,"2015 - 2016"
"1505","Marina Prada ",76,"Fashion & Retail ",0.4,"2016 - 2017",-0.8,"2015 - 2016"
"1506","William Koch ",81,"Energy ",0.4,"2017 - 2018",-1.1,"2015 - 2016"
"1507","Brandt Louie ",78,"Food & Beverage ",0.4,"2016 - 2017",-0.3,"2015 - 2016"
"1508","Brian Roberts ",62,"Media & Entertainment ",0.4,"2016 - 2017",-0.3,"2021 - 2022"
"1509","Wei Yin-Chun ",65,"Food & Beverage ",0.4,"2020 - 2021",-0.6,"2015 - 2016"
"1510","Danna Azrieli ",54,"Real Estate ",0.4,"2021 - 2022",0,"2015 - 2016"
"1511","Naomi Azrieli ",56,"Real Estate ",0.4,"2021 - 2022",0,"2015 - 2016"
"1512","Sharon Azrieli ",61,"Real Estate ",0.4,"2021 - 2022",0,"2015 - 2016"
"1513","Paolo Bulgari ",84,"Fashion & Retail ",0.4,"2017 - 2018",-0.2,"2015 - 2016"
"1514","Feng Yuxia ",57,"Healthcare ",0.4,"2021 - 2022",0,"2015 - 2016"
"1515","Eduard Kucera ",69,"Technology ",0.4,"2021 - 2022",0,"2015 - 2016"
"1516","Christopher Kwok ",36,"Real Estate ",0.4,"2020 - 2021",-0.4,"2021 - 2022"
"1517","Edward Kwok ",41,"Real Estate ",0.4,"2020 - 2021",-0.4,"2021 - 2022"
"1518","Niti Osathanugrah ",48,"Finance & Investments ",0.4,"2020 - 2021",0,"2015 - 2016"
"1519","Fernando Roig ",74,"Fashion & Retail ",0.4,"2020 - 2021",-0.2,"2021 - 2022"
"1520","Fayez Sarofim ",93,"Finance & Investments ",0.4,"2020 - 2021",-0.8,"2015 - 2016"
"1521","Hary Tanoesoedibjo ",56,"Media & Entertainment ",0.4,"2021 - 2022",0,"2015 - 2016"
"1522","Mukand Lal Dua ",73,"Fashion & Retail ",0.4,"2021 - 2022",0,"2015 - 2016"
"1523","Ramesh Kumar Dua ",68,"Fashion & Retail ",0.4,"2021 - 2022",0,"2015 - 2016"
"1524","Jay-Z ",52,"Media & Entertainment ",0.4,"2020 - 2021",0,"2015 - 2016"
"1525","Vardis Vardinoyannis & family ",89,"Energy ",0.4,"2020 - 2021",0,"2015 - 2016"
"1526","Alberto Alcocer ",79,"Finance & Investments ",0.4,"2020 - 2021",-0.2,"2015 - 2016"
"1527","Alberto Cortina ",76,"Finance & Investments ",0.4,"2020 - 2021",-0.2,"2021 - 2022"
"1528","Francis Holder ",81,"Food & Beverage ",0.4,"2020 - 2021",-0.0999999999999999,"2021 - 2022"
"1529","Wan Long ",81,"Food & Beverage ",0.4,"2020 - 2021",-0.6,"2021 - 2022"
"1530","Huang Shih Tsai ",70,"Real Estate ",0.4,"2016 - 2017",-0.9,"2021 - 2022"
"1531","Vijay Shekhar Sharma ",43,"Service ",0.4,"2017 - 2018",-1.1,"2021 - 2022"
