"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"276","Robert Rowling ",68,"Service ",3.7,"2018 - 2019",-7,"2019 - 2020"
"277","Wong Man Li ",57,"Manufacturing ",3.7,"2020 - 2021",-2.4,"2021 - 2022"
"278","Zhao Yan ",55,"Diversified ",3.7,"2020 - 2021",-1.5,"2021 - 2022"
"279","Ludwig Merckle ",57,"Finance & Investments ",3.6,"2020 - 2021",-2.49,"2019 - 2020"
"280","Neil Shen ",54,"Finance & Investments ",3.6,"2020 - 2021",-1.3,"2021 - 2022"
"281","Jorn Rausing ",62,"Food & Beverage ",3.6,"2020 - 2021",-4.1,"2021 - 2022"
"282","Ivan Glasenberg ",65,"Metals & Mining ",3.6,"2021 - 2022",-3,"2015 - 2016"
"283","Wolfgang Marguerre & family ",80,"Healthcare ",3.6,"2020 - 2021",-3.9,"2021 - 2022"
"284","Kei Hoi Pang ",56,"Real Estate ",3.6,"2017 - 2018",-4.6,"2021 - 2022"
"285","Luiza Helena Trajano ",70,"Fashion & Retail ",3.6,"2020 - 2021",-3.9,"2021 - 2022"
"286","Graeme Hart ",66,"Finance & Investments ",3.56,"2019 - 2020",-3.16,"2018 - 2019"
"287","Gustaf Douglas ",84,"Diversified ",3.51,"2018 - 2019",-3.41,"2019 - 2020"
"288","Chairul Tanjung ",59,"Diversified ",3.5,"2021 - 2022",-1.1,"2017 - 2018"
"289","Carl Icahn ",86,"Finance & Investments ",3.5,"2018 - 2019",-6.5,"2015 - 2016"
"290","Pallonji Mistry ",92,"Construction & Engineering ",3.5,"2017 - 2018",-10.1,"2019 - 2020"
"291","Cai Kui ",59,"Real Estate ",3.5,"2020 - 2021",-1.7,"2021 - 2022"
"292","Judy Faulkner ",78,"Technology ",3.5,"2020 - 2021",-1.94,"2019 - 2020"
"293","Li Xiaohua & family ",60,"Manufacturing ",3.5,"2021 - 2022",0,"2015 - 2016"
"294","Jason Jiang ",49,"Media & Entertainment ",3.5,"2020 - 2021",-1.9,"2021 - 2022"
"295","Mong-Koo Chung ",84,"Automotive ",3.5,"2020 - 2021",-1.8,"2021 - 2022"
"296","Shi Yonghong & family ",53,"Food & Beverage ",3.5,"2020 - 2021",-3.1,"2021 - 2022"
"297","Li Haiyan ",64,"Food & Beverage ",3.5,"2020 - 2021",-5,"2021 - 2022"
"298","Sunil Mittal & family ",64,"Telecom ",3.4,"2021 - 2022",0,"2015 - 2016"
"299","Robert Kuok ",98,"Diversified ",3.4,"2017 - 2018",-8.3,"2019 - 2020"
"300","Mangal Prabhat Lodha ",66,"Real Estate ",3.4,"2021 - 2022",-1.1,"2015 - 2016"
"301","Hong Jie ",54,"Manufacturing ",3.4,"2020 - 2021",-1.9,"2021 - 2022"
